sample_id,key
189d07b0c08ed5,泸201H5|1|15|泸201H5|4
18b47bff520ff1,泸203H64|4|7|泸203H64|2
18b7f53df32b8a,泸203H64|2|2|泸203H64|4
18c702348bb849,泸208H2|7|6|泸208H2|8
18c7722439c780,阳101H31|3|11|阳101H31|6
18e5d9366c876e,泸203H66|2|18|泸203H66|1
190e33dd5bfc6c,阳101H37|||阳101H37|2
1931fcc505b0dc,泸208H1|4|7|泸208H1|6
194ef006903355,阳101H31|1|5|阳101H31|2
19bba028634ef6,泸203H76|1|9|泸203H76|4
19c03bf99fcc3d,泸201H5|1|23|泸201H5|3
1a11e82a584766,阳101H51|1|19|阳101H51|3
1a39da74b54e8a,泸208H1|4|19|泸208H1|5
1a3b88b1ecc005,泸201H5|1|22|泸201H5|4
1a43b90a1f92fe,泸206H8|5|6|泸206H8|3
1a51eb8a07bc47,阳101H26|||阳101H26|1
1a5a11fad7b0e4,阳101H34|2|13|阳101H34|1
1a6331ae8091c3,泸203H76|3|18|泸203H76|2
1aad6280508974,泸208H2|6|4|泸208H2|8
1ab27165d07cc8,阳101H35|1|8|阳101H35|4
1ae87466ff0a0d,泸203H64|2|6|泸203H64|4
1ae99f113e557d,泸203H64|3|13|泸203H64|5
1aeb6e0e67b57f,泸201H5|2|7|泸201H5|3
1af2b383c4f9c7,阳101H35|1|21|阳101H35|2
1b3a34f93d005a,泸201H5|1|12|泸201H5|4
1b81992eb7746c,阳101H26|||阳101H26|4
1ba402f39ba430,阳101H51|1|14|阳101H51|2
1ba54785f0ca1f,阳101H31|||阳101H31|1
1bb7cf29a71aa1,阳101H51|2|16|阳101H51|1
1bd057eadd92c0,阳101H51|4|1|阳101H51|2
1bd91e6c74f711,泸203H9|2|15|泸203H9|4
1be12598bb7629,泸203H76|1|7|泸203H76|3
1be45526c95afc,阳101H31|5|23|阳101H31|6
1be5bd6269610e,阳101H43|||阳101H43|4
1befba130b453d,阳101H32|6|18|阳101H32|1
1c44b93ad7357b,阳101H51|2|5|阳101H51|3
1c47da4b17a86f,泸203H64|5|2|泸203H58|4
1c548b91f110cc,阳101H35|1|3|阳101H35|2
1c57bcd507e59b,泸201H5|3|18|泸201H5|4
1c5b1fe6760fcc,阳101H2|4|20|阳101H2|6
1c5f600becbbd7,泸206H8|5|5|泸206H8|2
1c98211fc1cbee,阳101H31|7|19|阳101H31|4
1c9c96fe2d4e2b,阳101H2|||阳101H2|6
1c9fd22e575f77,泸208H2|10|13|泸208H2|9
1cac6a750523ab,泸203H76|1|19|泸203H76|2
1ccbb2d12ec867,泸203H66|3|18|泸203H66|2
1ce31a471121d0,阳101H26|||阳101H26|2
1cf59da8410a0f,阳101H26|||阳101H26|3
1cf686b6b3eea6,泸206H8|5|12|泸206H8|4
1d133461208816,泸203H64|3|4|泸203H64|1
1d165cd04788f5,泸206H8|4|20|泸206H8|6
1d28e572f35254,阳101H31|5|12|阳101H31|4
1d37cfc0a47149,泸203H76|3|10|泸203H76|2
1d4a9e216f6bb2,泸201H5|1|18|泸201H5|2
1d719f866e94f7,阳101H51|3|13|阳101H51|1
1d870b9174f6d1,泸208H1|6|3|泸208H1|5
1d9c9a459aef4f,阳101H31|||阳101H31|2
1dad4ec1d9135b,泸208H1|1|13|泸208H1|2
1db09770aa7875,阳101H35|2|2|阳101H35|1
1db46fb34a7423,阳101H51|2|7|阳101H51|1
1dbc8f84c17823,泸203H10|||泸203H10|1
1dbf8c9c5c8b87,泸206H8|5|13|泸206H8|2
1dd6d5d9c3bfc2,泸203H76|4|14|泸203H76|2
1dec29381cc5d8,泸201H5|4|11|泸201H5|2
1deffb31abc528,阳101H35|2|8|阳101H35|4
1df5215ff08f57,泸206H8|4|3|泸206H8|7
1e0ad9f114cc03,阳101H35|1|23|阳101H35|2
1e34b41f5af11f,阳101H26|||阳101H26|1
1e385e1ebe17c2,泸203H11|6|6|泸203H11|5
1e415408befc28,阳101H35|3|12|阳101H35|2
1e45d1c2be6c9f,阳101H2|5|14|阳101H2|3
1e47465392dcc1,泸201H5|3|18|泸201H5|2
1e48dfac1f44e2,泸206H8|||泸206H8|2
1e5a210a536ddd,泸203H64|2|1|泸203H64|1
1e5eddb10c0d5a,阳101H2|5|16|阳101H2|4
1e6e9604061afc,泸203H66|1|7|泸203H66|4
1ea34ba7c7c0c5,泸201H5|1|11|泸201H5|4
1ec9592d05f4c1,泸203H64|5|13|泸203H64|3
1ecfdfd0dfbeba,阳101H31|3|7|阳101H31|2
1ee082dc9c7758,泸203H66|||泸203H66|sensor:No09
1ef068af2fa2e7,阳101H26|||阳101H26|1
1f02855d81e467,阳101H26|||阳101H26|2
1f0a7433928e6d,阳101H2|||阳101H2|5
1f14205af68419,阳101H31|3|7|阳101H31|1
1f2484e836de98,阳101H2|||阳101H2|5
1f2ac0fae1d6ae,泸201H5|3|20|泸201H5|2
1f33b73fb3ea5d,泸203H64|3|14|泸203H64|2
1f484dbf023051,阳101H51|3|2|阳101H51|1
1f71fa59b658aa,泸206H8|4|2|泸206H8|8
1f74d658291853,泸203H91|||泸203H91|4
1f87de47545d2e,阳101H31|1|15|阳101H31|2
1f94215b5637bc,阳101H26|||阳101H26|4
1f9a443cd21c51,阳101H33|3|7|阳101H33|4
1fa4eefa59e53f,泸206H10|2|15|泸206H10|4
1fac41a9600eb6,泸203H64|4|13|泸203H64|1
1fd33fa9e2369d,阳101H35|2|16|阳101H35|3
1fec6b0a15b123,泸201H5|4|9|泸201H5|1
1fecf79e38a3a2,阳101H26|||阳101H26|3
20257e42b0616f,阳101H26|||阳101H26|2
202d73574c003d,阳101H2|2|8|阳101H2|1
202fba08f41e76,泸201H5|3|1|泸201H5|4
20609fed3a6ace,阳101H26|||阳101H26|1
207a859818941e,泸201H5|2|1|泸201H5|1
20850a15f8405c,阳101H2|4|3|阳101H32|7
20905000d82ce6,阳101H31|2|20|阳101H31|3
20a789e6b3c0fe,阳101H35|2|21|阳101H35|4
20be1008e760e5,阳101H32|5|23|阳101H32|7
20ccef9c6ddcc5,阳101H32|2|20|阳101H32|3
20cfb15ab8a1ed,泸201H5|3|3|泸201H5|4
20d3d12764587a,泸203H64|1|5|泸203H64|2
20d505775e8305,泸206H8|5|7|泸206H8|3
20d58decd6c4d2,泸201H5|1|4|泸201H5|2
20f5e7a38c639c,阳101H32|4|4|阳101H32|3
211abb69735092,阳101H26|||阳101H26|4
21405b69eadb48,阳101H31|3|15|阳101H31|2
216f0c41dcf37e,阳101H26|||阳101H26|3
2183a6851cdfc2,泸203H76|4|8|泸203H76|2
2185aa9cba6809,泸203H64|5|12|泸203H64|1
218bdee23f9168,阳101H32|2|6|阳101H32|1
21c0300e75b12e,阳101H35|3|11|阳101H35|1
21d3ba83824ce3,泸203H64|1|4|泸203H64|3
21eb8d92542476,阳101H51|6|10|阳101H51|5
21ec247be7bba7,阳101H26|||阳101H26|4
220646143f6fa0,泸201H5|3|13|泸201H5|4
2207d5adec9d07,泸203H64|5|9|泸203H64|4
220e4e28576497,泸206H8|4|9|泸206H8|6
2219d8c458a4e1,阳101H2|6|20|阳101H2|2
222bf45624799a,阳101H26|||阳101H26|4
223f9fd3533bfc,阳101H2|||阳101H2|6
225556d24308f0,阳101H32|2|11|阳101H32|3
22aee0c627ea5d,阳101H32|4|4|阳101H32|6
22b3eea083edf2,阳101H35|3|19|阳101H35|2
22df8cf54cb593,阳101H26|||阳101H26|4
22ecb9dc61ea12,阳101H25|1|27|阳101H25|4
230caf7114a8dd,泸208H2|9|9|泸208H2|7
23123faf4e1a2d,泸206H8|||泸206H8|2
2328e2fc04730a,泸201H5|1|17|泸201H5|4
2333b5489c51db,阳101H26|||阳101H26|2
234840fa5c3ca1,泸203H76|3|9|泸203H76|4
2354d0f6ff5bcf,阳101H31|||阳101H31|3
2369b717cdd080,阳101H32|4|19|阳101H32|2
2370eab4e3d5de,泸206H8|5|4|泸206H8|1
2376fb4d13b8fe,泸203H64|1|10|泸203H64|3
238a9206e73b45,泸203H9|3|25|泸203H9|4
239d2bd76f42e9,阳101H2|2|22|阳101H2|4
23a688fa580fef,泸203H76|1|22|泸203H76|4
23b04c5403f1fb,阳101H31|7|23|阳101H31|5
23eaf1391616c3,阳101H26|||阳101H26|4
23eef5a3ee9f1c,阳101H31|||阳101H31|3
24004eec1e65d0,泸206H10|3|7|泸206H10|2
2407cb1efc3e43,阳101H51|3|26|阳101H51|1
2407e8fd75af6f,泸201H5|2|20|泸201H5|3
242b4ffcb2f427,阳101H35|2|12|阳101H35|1
24302fa3efe120,泸203H153|5|21|泸203H153|6
24493d8c276105,阳101H26|||阳101H26|4
245d466755bb9a,阳101H2|2|2|阳101H2|7
245debde91ae2f,阳101H35|1|9|阳101H35|3
247436773d4c2c,泸201H5|3|14|泸201H5|1
247600d07781b1,阳101H51|3|13|阳101H51|2
2482417569d490,泸201H5|2|8|泸201H5|1
2489f9f1a6b5fd,阳101H32|2|13|阳101H32|6
24d705e7996847,阳101H32|2|9|阳101H32|3
24e49411a0a716,阳101H31|1|10|阳101H31|3
24e8011c6091dc,阳101H31|5|24|阳101H31|6
255602a358a0b0,泸203H9|3|8|泸203H9|2
2561f0a7682fc2,泸203H64|1|20|泸203H75|3
256293b6ca58f6,阳101H32|6|18|阳101H32|4
257fc7b8bd4864,阳101H2|||阳101H2|6
259a83e727eddc,泸208H1|4|2|泸208H1|3
25b72c23af7339,泸206H8|5|7|泸206H8|6
25bffbb84ab338,泸203H64|3|3|泸203H64|5
25ce7c37cbb045,阳101H2|52|22|阳101H32|8
25e487af23c76a,阳101H32|4|8|阳101H32|6
25f2cbd5f31ba1,阳101H35|1|18|阳101H35|2
25f4d81d516aa7,泸208H2|4|16|泸208H2|5
25f9516d0d4292,泸203H64|4|14|泸203H64|5
25fc17f3883821,泸201H5|3|19|泸201H5|4
2628694c7b2684,阳101H31|5|15|阳101H31|7
262c7e526d0b8c,泸208H2|8|9|泸208H2|9
264d49a8eb2e89,泸203H10|3|3|泸203H10|1
26537374bbf06c,阳101H32|6|10|阳101H32|2
2670a9121a0b6e,泸203H66|1|14|泸203H66|2
26758006eaa5de,阳101H26|||阳101H26|2
267652fdea2ce2,泸203H64|5|8|泸203H64|1
2683ed3679f335,阳101H2|104|17|阳101H2|7
269640705952a2,阳101H33|3|5|阳101H33|2
2698830447f168,阳101H31|3|4|阳101H31|1
26af337a190074,阳101H31|1|19|阳101H31|2
26ba57eb523b2d,泸203H9|1|13|泸203H9|2
26da0b380b6b43,泸203H10|1|14|泸203H10|2
26f6e42af25b04,泸206H8|4|21|泸206H8|8
26fadc8d0570bd,泸203H11|5|4|泸203H11|6
27002ff336139f,阳101H31|||阳101H31|3
2731452f6cafa8,阳101H31|5|19|阳101H31|4
275dce5cb4dc8b,泸206H10|2|7|泸206H10|4
277a9708a89f3e,阳101H26|||阳101H26|4
