k,replicate,ari,n
5,31,0.9575177939895201,2587
5,32,0.9551103774127628,2564
5,33,0.9455164144617096,2647
5,34,0.9696073667700226,2584
5,35,0.9800266574528333,2580
5,36,0.962486324339581,2621
5,37,0.9429302427310308,2571
5,38,0.9593996249449673,2627
5,39,0.9746495709580328,2588
5,40,0.9666727833892697,2603
5,41,0.9673271961638022,2598
5,42,0.9568162308017668,2619
5,43,0.9569352891078208,2460
5,44,0.9432207259881541,2577
5,45,0.983911680886204,2597
5,46,0.9543814149043199,2581
5,47,0.974706561224782,2604
5,48,0.9592937638631016,2621
5,49,0.9642689548259008,2632
5,50,0.9449024216858478,2460
5,51,0.978551341459389,2454
5,52,0.9797239214660348,2585
5,53,0.9341989289753048,2617
5,54,0.9478935082652471,2579
5,55,0.9771414758218853,2583
5,56,0.937511004512658,2587
5,57,0.9702100192462862,2615
5,58,0.9860721968342286,2590
5,59,0.9895589741581364,2609
5,60,0.9599392353346752,2490
5,61,0.9717038219871807,2605
5,62,0.9495725497005432,2597
5,63,0.9496772073591154,2583
5,64,0.9523554639887852,2578
5,65,0.9637557645790892,2602
5,66,0.9712350011228837,2595
5,67,0.9640987365673157,2624
5,68,0.9923124194117159,2597
5,69,0.9281560480724874,2599
5,70,0.9885995858040209,2624
5,71,0.9840577598884629,2588
5,72,0.9767903497080141,2602
5,73,0.9874905305029325,2614
5,74,0.9639708207597075,2615
5,75,0.987389128507242,2605
5,76,0.9916787387799627,2632
5,77,0.95363634389815,2574
5,78,0.9447527239701003,2608
5,79,0.9920399818785415,2590
5,80,0.9781533012480499,2643
5,81,0.9894054329976727,2601
5,82,0.9699021299935878,2616
5,83,0.9721999160203597,2622
5,84,0.9499862285052446,2621
5,85,0.9739022593636968,2628
5,86,0.9771351898401598,2634
5,87,0.9826512092302737,2605
5,88,0.9858794661421295,2599
5,89,0.9420180989538457,2483
5,90,0.9512419659041034,2576
5,91,0.9848801118940514,2581
5,92,0.983962530252321,2601
5,93,0.9605682945333147,2622
5,94,0.9950759090391669,2639
5,95,0.9707610468079585,2599
5,96,0.9856125612259562,2586
5,97,0.9899896369636447,2446
5,98,0.9599507377689896,2634
5,99,0.959084987992002,2612
