file,sheet,nrows,ncols,status,reason
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\3井压裂期间邻井压力检测_3井第22段 压裂质量数量监控表（邻井压力、井口、砂量）.xlsx,Sheet1,22.0,4.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\3井压裂期间邻井压力检测_3井第22段 压裂质量数量监控表（邻井压力、井口、砂量）.xlsx,Sheet2,40.0,14.0,已提取,3个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\阳101H35平台1井压力秒点数据（4.13-4.20）.xls,text,604804.0,2.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\阳101H35平台压窜记录(4.19-4.25)_1#流程_实时数据_35-2井第3段施工结束后36-1井压力上涨2024.4.22.csv,text,24386.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\阳101H35平台压窜记录(4.19-4.25)_35-1第3段施工后36-4井3秒点2024.4.21.csv,text,28568.0,21.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\阳101H35平台压窜记录(4.19-4.25)_35-3第7段  1井分钟数据(1).csv2024.4.23.csv,text,363.0,3.0,已提取,1个通道
E:\压裂窜扰项目\02 规范化\阳101H35\阳101H35 邻井压力监测\阳101H35平台压窜记录(4.19-4.25)_4#流程_实时数据_35-3井第6段施工后36-4井压力上涨2024.4.22.csv,text,24386.0,22.0,已提取,4个通道
E:\压裂窜扰项目\02 规范化\阳101H43\阳101H43 邻井压力监测\阳101H43监测日志.xlsx,6井,26.0,33.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\阳101H6\阳101H6 邻井压力监测\阳101H6-8井-29段压窜资料.xls,封面,13.0,3.0,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\阳101H6\阳101H6 邻井压力监测\阳101H6-8井-29段压窜资料.xls,基础参数,44.0,7.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\阳101H6\阳101H6 邻井压力监测\阳101H6-8井-29段压窜资料.xls,施工设计,104.0,10.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\阳101H6\阳101H6 邻井压力监测\阳101H6-8井-29段压窜资料.xls,阶段汇总,30.0,15.0,非时序压力表,工况、数量或阶段汇总表
E:\压裂窜扰项目\02 规范化\阳101H6\阳101H6 邻井压力监测\阳101H6-8井-29段压窜资料.xls,分点数据,12183.0,11.0,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\阳101H6\阳101H6 邻井压力监测\阳101H6-8井-29段压窜资料.xls,打印数据,258.0,9.0,未提取压力通道,0个通道
