file,sheet,nrows,ncols,status,reason
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H9-3胡刚,9,13,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸203H9\泸203H9 邻井压力监测\泸203H9_压窜信息_12井压窜监测数据（大于5兆帕）_页岩气井压窜统计大表-9.7-346井.xlsx,泸203H9-4胡刚,6,13,解析失败,没有至少5个可解释时间点
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-18段压裂施工-1、3井分点压力监测-2.xls,导出数据,225,3,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-18段压裂施工-1、3井分点压力监测.xls,导出数据,225,3,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-19段压裂施工-1、3井分点压力监测-2.xls,导出数据,154,3,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-19段压裂施工-1、3井分点压力监测-2.xlsx,导出数据,274,3,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-19段压裂施工-1、3井分点压力监测.xls,导出数据,154,3,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-19段压裂施工-1、3井分点压力监测.xlsx,导出数据,274,3,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-19段压裂施工-1、3井秒点压力监测-2.xls,导出数据,9004,3,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-19段压裂施工-1、3井秒点压力监测-2.xlsx,导出数据,16203,3,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-19段压裂施工-1、3井秒点压力监测.xls,导出数据,9004,3,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-19段压裂施工-1、3井秒点压力监测.xlsx,导出数据,16203,3,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-21段压裂施工-1、3、4、5、6、7、8井分点压力监测.xls,导出数据,202,8,未提取压力通道,0个通道
E:\压裂窜扰项目\02 规范化\泸206H8\泸206H8 邻井压力监测\泸206H8-2-21段压裂施工-1、3、4、5、6、7、8井秒点压力监测.xls,导出数据,11884,8,未提取压力通道,0个通道
