file,sheet,monitor,points,reason
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-3段压裂施工-2井秒点压力监测.xls,导出数据,2,16141,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-3段压裂施工-5井分点压力监测.xls,导出数据,5,270,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-3段压裂施工-5井秒点压力监测.xls,导出数据,5,16141,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-3段压裂施工-6井分点压力监测.xls,导出数据,6,270,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-3段压裂施工-6井秒点压力监测.xls,导出数据,6,16141,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-4段压裂施工-2井分点压力监测.xls,导出数据,2,162,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-4段压裂施工-2井秒点压力监测.xls,导出数据,2,9661,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-4段压裂施工-5井分点压力监测.xls,导出数据,5,162,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-4段压裂施工-5井秒点压力监测.xls,导出数据,5,9661,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-5段压裂施工-2井分点压力监测.xls,导出数据,2,228,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-5段压裂施工-2井秒点压力监测.xls,导出数据,2,13621,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-5段压裂施工-6井分点压力监测.xls,导出数据,6,228,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-6段压裂施工-2井分点压力监测.xls,导出数据,2,233,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-6段压裂施工-2井秒点压力监测.xls,导出数据,2,13921,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-6段压裂施工-5井分点压力监测.xls,导出数据,5,233,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-6段压裂施工-5井秒点压力监测.xls,导出数据,5,13921,新解析器未识别，保留旧解析器有效通道
E:\压裂窜扰项目\02 规范化\不重要的\阳101H2\阳101H2 邻井压力监测\阳101H2-4-8段压裂施工-2井分点压力监测.xls,导出数据,2,254,新解析器未识别，保留旧解析器有效通道
