sample_id,platform_id,source_well,stage_id,monitor_well,cluster,boundary_flag,resamples_present,aligned_label_agreement
77deffcb8b68d0,阳101H33,3,4,2,C2,False,88,1.0
77e8e2b0819ef6,泸201H5,4,10,2,C1,False,72,1.0
77ff1f143e12cf,泸203H64,3,10,1,C1,True,87,1.0
7839bac291abfc,泸201H5,4,19,3,C1,False,80,1.0
7901359f508484,泸203H76,3,16,1,C1,False,82,1.0
7905e8c479123e,阳101H35,2,4,1,C2,False,83,1.0
7913387af594d8,泸201H5,3,1,1,C1,False,87,1.0
791f11c6cfa378,阳101H33,3,4,1,C1,False,88,1.0
792316b5340bb5,泸201H5,3,10,1,C1,False,84,1.0
7953c305d2b21d,阳101H33,3,5,2,C2,False,88,1.0
79be601773ca83,泸208H1,4,9,5,C2,False,77,1.0
7a0e04e1477030,泸201H5,2,23,4,C1,False,84,1.0
7a13f481038731,泸201H5,1,18,2,C1,False,80,1.0
7a7ca0a142da8e,泸206H8,1,12,3,C1,False,84,1.0
7b6bd4d316189f,泸201H5,2,9,3,C1,False,86,1.0
7cd9c43e3d1fc5,泸201H5,1,6,4,C1,False,82,1.0
7d09e04c4aa3ce,泸201H5,2,9,4,C1,False,86,1.0
7dc9261d5bd30b,泸201H5,4,21,1,C1,False,79,1.0
7dcb78e27b3a7c,泸201H5,3,4,4,C1,False,73,1.0
7de6da17ec6cc5,阳101H34,6,4,5,C1,False,80,1.0
7e6c70572c5b8e,阳101H33,2,6,3,C2,False,90,1.0
7eee2b054b06f4,泸203H11,4,3,3,C2,False,84,1.0
7f0a04e8747386,泸208H1,4,10,6,C2,False,79,1.0
801f760d1dad63,泸201H5,2,17,1,C1,False,77,1.0
808f9c7784cf22,泸206H8,5,7,1,C1,False,85,1.0
8095b97dde8f1c,泸201H5,3,7,2,C1,False,75,1.0
80b7e580ad00b7,泸201H5,1,13,2,C1,False,85,1.0
812a3e3ac3ab86,泸203H66,2,24,3,C2,True,85,0.8352941176470589
8169a37d978920,泸203H64,4,11,1,C1,False,85,1.0
81a841e7992803,泸201H5,4,25,1,C1,False,75,1.0
82949d87001eaa,泸203H66,2,22,1,C2,False,86,1.0
834b8d690f17ac,泸201H5,3,9,1,C1,False,83,1.0
841cf84bebb8b0,泸203H66,1,5,4,C2,False,82,0.8536585365853658
848f09ef14a038,泸201H5,3,24,4,C1,False,80,1.0
84c990bed729a4,泸206H8,1,12,5,C1,False,84,1.0
8536f55fd7992b,泸208H2,9,5,10,C2,False,76,1.0
86ff8f65c2252e,泸201H5,3,8,1,C1,False,82,1.0
872ba978889d4e,泸201H5,1,7,2,C1,False,77,1.0
873727344a5965,泸203H66,3,15,2,C2,False,79,1.0
8801016901a2f8,泸203H64,5,12,3,C1,False,88,1.0
8b837444bb8cf3,阳101H35,3,8,1,C1,False,86,1.0
8bdd4de6d372ff,泸206H8,4,2,6,C1,False,80,1.0
8c0c059096d3aa,泸208H2,9,20,10,C2,False,91,1.0
8c67e4532c3eea,泸201H5,3,6,1,C1,False,82,1.0
8cbd9f6e7ce8b5,泸203H66,3,13,2,C2,False,86,1.0
