method,k,replicate,n,ari_to_full,ari_adjacent_overlap
DTW_kmedoids,4,21,420,0.9352332801768508,0.9403922712276268
DTW_kmedoids,4,22,423,0.8152833677944713,0.7896823191061453
DTW_kmedoids,4,23,416,0.9673451138151266,0.7769143799078498
DTW_kmedoids,4,24,412,0.8381332583436258,0.812405289986321
DTW_kmedoids,4,25,416,1.0,0.8423111106121125
DTW_kmedoids,4,26,414,0.7928850926331283,0.8017230387063655
DTW_kmedoids,4,27,412,0.778502192155858,0.9519362862004125
DTW_kmedoids,4,28,416,0.974272415002512,0.768857214245917
DTW_kmedoids,4,29,418,0.9169949860567568,0.8993735221078649
DTW_kmedoids,4,30,410,0.9026843302547929,0.8410271592330183
DTW_kmedoids,4,31,413,0.78807363309603,0.864403387337706
DTW_kmedoids,4,32,418,0.9610643605719803,0.7694888041209856
DTW_kmedoids,4,33,422,0.8837320680991959,0.9295307217294198
DTW_kmedoids,4,34,414,0.9870306638826148,0.9029316017252063
DTW_kmedoids,4,35,411,0.7873796421203272,0.7976730949735362
DTW_kmedoids,4,36,413,0.9871458089418457,0.7919731977356905
DTW_kmedoids,4,37,413,0.8869710620847914,0.8725173358372522
DTW_kmedoids,4,38,417,0.9644291132065222,0.8491045494631632
DTW_kmedoids,4,39,415,0.8305568109387321,0.8098195875685501
DTW_kmedoids,4,40,416,0.9006535437663574,0.9313934273055604
DTW_kmedoids,4,41,414,0.8996263828169384,0.820405171948235
DTW_kmedoids,4,42,418,0.8367364875763373,0.8936698053622825
DTW_kmedoids,4,43,416,0.9585815184398089,0.848201510724024
DTW_kmedoids,4,44,418,0.836618930554584,0.8385092100341848
DTW_kmedoids,4,45,418,0.8476897426764411,0.9986259689327566
DTW_kmedoids,4,46,414,0.8503534852119456,0.9949237479059557
DTW_kmedoids,4,47,415,0.8043412494088915,0.9578622021477344
DTW_kmedoids,4,48,423,0.7991315157284257,0.9427523913911287
DTW_kmedoids,4,49,418,0.8411382120091069,0.916626772911694
DTW_kmedoids,4,50,418,0.8264149667529213,0.9664586397073566
DTW_kmedoids,4,51,415,0.8248407778135195,0.9704951896978644
DTW_kmedoids,4,52,422,0.779137109218947,0.8996313188472792
DTW_kmedoids,4,53,419,0.8460743574858544,0.8880234912779043
DTW_kmedoids,4,54,411,0.8788792206527667,0.9513697676654242
DTW_kmedoids,4,55,412,0.7774709867811979,0.865241643480583
DTW_kmedoids,4,56,420,0.967407072161274,0.7643062818696431
DTW_kmedoids,4,57,416,0.8941820161349026,0.9209801164559196
DTW_kmedoids,4,58,416,0.8493969659625266,0.9051247566723252
DTW_kmedoids,4,59,418,0.8713468029872631,0.9493554441052053
DTW_kmedoids,4,60,413,0.8317193520114438,0.9513564256705274
DTW_kmedoids,4,61,409,0.8862749715363674,0.9094964991425348
DTW_kmedoids,4,62,419,0.8165207096126338,0.9056279340783387
DTW_kmedoids,4,63,415,0.9220568854123607,0.7962428668525269
DTW_kmedoids,4,64,419,0.9582686016962885,0.9408219463576157
DTW_kmedoids,4,65,411,0.7636819634535271,0.7919091260228946
DTW_kmedoids,4,66,422,0.9784775155302271,0.7623439980966662
DTW_kmedoids,4,67,412,0.8399281648715341,0.8266545244248482
DTW_kmedoids,4,68,416,0.820428626982792,0.9983858364232413
DTW_kmedoids,4,69,419,0.9428049237296644,0.7945544464837659
DTW_kmedoids,4,70,414,0.7757589356866269,0.7751021251569271
DTW_kmedoids,4,71,416,0.9757645396723179,0.7647296403407654
DTW_kmedoids,4,72,417,0.7950420981237495,0.7846221758112454
DTW_kmedoids,4,73,416,0.9406025766807907,0.7445603864257346
DTW_kmedoids,4,74,409,0.8045740677590674,0.7410505588997627
DTW_kmedoids,4,75,414,0.9091962603758837,0.8658187657488281
DTW_kmedoids,4,76,419,0.7788350204818308,0.8531132198096408
DTW_kmedoids,4,77,416,0.9209545983566998,0.8523414816219684
DTW_kmedoids,4,78,419,0.9659911946288636,0.9152198370351469
DTW_kmedoids,4,79,415,0.9640605016667132,0.9399302762521107
DTW_kmedoids,4,80,416,1.0,0.9553403881904592
DTW_kmedoids,4,81,414,0.8331026131493486,0.8262385487540671
DTW_kmedoids,4,82,412,0.8620551657174419,0.9984220895421115
DTW_kmedoids,4,83,414,0.8295448104375932,0.9985422838828358
DTW_kmedoids,4,84,413,0.8242111976673011,0.9985245662981506
DTW_kmedoids,4,85,417,0.9390659021216973,0.7961017048921046
DTW_kmedoids,4,86,417,0.898173286302982,0.859896036396967
DTW_kmedoids,4,87,418,0.8465174975896207,0.9316549314105185
DTW_kmedoids,4,88,411,0.8393401326161666,0.9725272189033107
DTW_kmedoids,4,89,421,0.7830669160332777,0.9360131589711378
DTW_kmedoids,4,90,411,0.7771658803954314,0.9475415998206927
DTW_kmedoids,4,91,416,1.0,0.7661919458056855
DTW_kmedoids,4,92,415,0.9667123931036333,0.9641142860116568
DTW_kmedoids,4,93,425,0.833516778172777,0.8130305640741741
DTW_kmedoids,4,94,417,0.8547276404463,0.9601380434748131
DTW_kmedoids,4,95,417,0.8161551576761705,0.9391148648734624
DTW_kmedoids,4,96,417,1.0,0.8039588793441194
DTW_kmedoids,4,97,420,0.9761448761279992,0.9744690478865341
DTW_kmedoids,4,98,413,0.9430324232530546,0.9346072192759304
DTW_kmedoids,4,99,418,0.7654104560676911,0.8036494501567414
DTW_kmedoids,5,0,422,0.8896471997453396,
DTW_kmedoids,5,1,413,0.9488360420355381,0.878972862968981
DTW_kmedoids,5,2,419,0.9012472378400098,0.8954402316801574
DTW_kmedoids,5,3,414,0.914586717857563,0.9857151298552649
DTW_kmedoids,5,4,417,0.9169901866853816,0.9431567628685857
DTW_kmedoids,5,5,418,0.8369193928790553,0.8771658249597443
DTW_kmedoids,5,6,420,0.8297013230133916,0.9868860811387078
DTW_kmedoids,5,7,417,0.8367149006335588,0.9935592718826352
DTW_kmedoids,5,8,415,0.9993382324272816,0.815948588634504
DTW_kmedoids,5,9,421,0.8981256932718711,0.8855590361514858
DTW_kmedoids,5,10,416,0.9345569164536772,0.9773838913863623
DTW_kmedoids,5,11,416,0.9174402309486321,0.9581786239233271
DTW_kmedoids,5,12,416,0.9026084064051862,0.9661258431528169
DTW_kmedoids,5,13,417,0.94369937829734,0.9479766766614944
DTW_kmedoids,5,14,416,0.9319791502730841,0.9734206972393281
DTW_kmedoids,5,15,418,0.9553985618459127,0.9372039078214417
DTW_kmedoids,5,16,414,0.7830334072549751,0.7797972125032107
DTW_kmedoids,5,17,415,0.9199579140720757,0.828722449707066
DTW_kmedoids,5,18,418,0.923616086359234,0.9834061213773898
DTW_kmedoids,5,19,416,0.9053124222747532,0.9993622643245588
DTW_kmedoids,5,20,411,0.9674108595945069,0.9342595635374719
DTW_kmedoids,5,21,420,0.9348599856463866,0.9493856482284666
DTW_kmedoids,5,22,423,0.8915278714250283,0.9363162545425385
DTW_kmedoids,5,23,416,0.9402573668271559,0.937714769204988
DTW_kmedoids,5,24,412,0.9521392172048799,0.9432955235486032
DTW_kmedoids,5,25,416,0.9466551270727105,0.9429918415622329
DTW_kmedoids,5,26,414,0.9734976167813698,0.9481511719278165
DTW_kmedoids,5,27,412,0.7888224930717855,0.7810603292836347
DTW_kmedoids,5,28,416,0.8977602780453139,0.8451698472399619
DTW_kmedoids,5,29,418,0.9787923612904109,0.9283561179051222
DTW_kmedoids,5,30,410,0.7658231086867806,0.7916643714313653
DTW_kmedoids,5,31,413,0.7469651262053494,0.9509026834583127
DTW_kmedoids,5,32,418,0.8424963740752119,0.6977577197519227
DTW_kmedoids,5,33,422,0.9354980213639161,0.8083451634211122
DTW_kmedoids,5,34,414,0.9386285860176886,0.934395466187303
DTW_kmedoids,5,35,411,0.8964662085945949,0.8642100741293514
DTW_kmedoids,5,36,413,0.9328000668301992,0.9642262875303907
DTW_kmedoids,5,37,413,0.964213864145506,0.8964832530625314
DTW_kmedoids,5,38,417,0.9116497883665661,0.8968141303634388
DTW_kmedoids,5,39,415,0.9102186363926346,0.9887654299437975
DTW_kmedoids,5,40,416,0.7536057684420789,0.790773897895988
DTW_kmedoids,5,41,414,0.9479142813753499,0.7415831644483828
DTW_kmedoids,5,42,418,0.7902114671492176,0.8160673575708159
DTW_kmedoids,5,43,416,0.9265340876226559,0.8620073024494934
DTW_kmedoids,5,44,418,0.8001719779109122,0.8446183334115823
DTW_kmedoids,5,45,418,0.9175153729845535,0.8605651577484574
DTW_kmedoids,5,46,414,0.926240385225916,0.9935753841353455
DTW_kmedoids,5,47,415,0.8042508040346446,0.8486605823816156
DTW_kmedoids,5,48,423,0.9019392333403595,0.8842081940362978
DTW_kmedoids,5,49,418,0.9097031377074764,0.9649320694708889
DTW_kmedoids,5,50,418,0.9308383592556324,0.980338024290201
DTW_kmedoids,5,51,415,0.7658636646696976,0.8271804358272463
DTW_kmedoids,5,52,422,0.9685965540481712,0.7804049239054176
DTW_kmedoids,5,53,419,0.9994205771755021,0.9685251536988666
DTW_kmedoids,5,54,411,0.7498624791368159,0.751109042324946
DTW_kmedoids,5,55,412,0.9030486734480998,0.7976482706431234
DTW_kmedoids,5,56,420,0.8960176126741249,0.9844893707288518
DTW_kmedoids,5,57,416,0.8042610315817271,0.9055284450893588
DTW_kmedoids,5,58,416,0.7928338782194451,0.911378100732872
DTW_kmedoids,5,59,418,0.9389740522517928,0.8377269579199391
DTW_kmedoids,5,60,413,0.9786773979162539,0.9412301839449376
DTW_kmedoids,5,61,409,0.7753732922193918,0.794843921216373
DTW_kmedoids,5,62,419,0.7681988329056977,0.972914518406523
DTW_kmedoids,5,63,415,0.9339215988479508,0.81390124385897
DTW_kmedoids,5,64,419,0.9399332411231344,0.9625896795876334
DTW_kmedoids,5,65,411,0.9173529027083521,0.9563518180338236
DTW_kmedoids,5,66,422,0.9758336898615502,0.9137893019241669
DTW_kmedoids,5,67,412,0.8410360964866916,0.8405989098082103
DTW_kmedoids,5,68,416,1.0,0.8231803677593045
DTW_kmedoids,5,69,419,0.9143719769227077,0.9031428079097858
DTW_kmedoids,5,70,414,0.9329992411774242,0.9594660621140376
DTW_kmedoids,5,71,416,0.7938733351456277,0.8356540089821972
DTW_kmedoids,5,72,417,0.9062442445577005,0.8560280509072367
DTW_kmedoids,5,73,416,0.9783415740255862,0.9198016462145322
DTW_kmedoids,5,74,409,0.9993642975061157,0.9851933451190309
DTW_kmedoids,5,75,414,0.812628743417868,0.8225252617698862
DTW_kmedoids,5,76,419,0.9577659561582632,0.7701054811400835
DTW_kmedoids,5,77,416,0.886206091029464,0.8380278395466516
DTW_kmedoids,5,78,419,0.9640841765407803,0.9369892772923857
DTW_kmedoids,5,79,415,0.9059127760655332,0.9576277571706325
DTW_kmedoids,5,80,416,0.8890177111251415,0.9865422575650102
DTW_kmedoids,5,81,414,0.8279456120251102,0.900523902413309
DTW_kmedoids,5,82,412,0.9215012732060773,0.8597387520373958
DTW_kmedoids,5,83,414,0.8384639590808105,0.866297830211421
DTW_kmedoids,5,84,413,0.8257767265575067,0.9994580926239028
DTW_kmedoids,5,85,417,0.9286603754250535,0.8550012434654404
DTW_kmedoids,5,86,417,0.9339763135434331,0.9881227747846107
DTW_kmedoids,5,87,418,0.973593516273896,0.9096354027605246
DTW_kmedoids,5,88,411,0.9397860584700068,0.9200052938869672
DTW_kmedoids,5,89,421,0.8399872485186108,0.8654706035608891
DTW_kmedoids,5,90,411,0.8747459215216828,0.9048180996105661
DTW_kmedoids,5,91,416,0.9389243222989639,0.9469842275452216
DTW_kmedoids,5,92,415,0.9176821981310991,0.9684745332415953
DTW_kmedoids,5,93,425,0.9386003033994029,0.9553128015657713
DTW_kmedoids,5,94,417,0.8958306256136067,0.9346929346898506
DTW_kmedoids,5,95,417,0.9884387160969201,0.8849576787762955
DTW_kmedoids,5,96,417,0.9786102019722237,0.9869121583425464
DTW_kmedoids,5,97,420,0.9681789072701201,0.98992536885338
DTW_kmedoids,5,98,413,0.899412654817189,0.9173349505175729
DTW_kmedoids,5,99,418,0.943350999195728,0.9366818950226506
DTW_kmedoids,6,0,422,0.9497624437767805,
DTW_kmedoids,6,1,413,0.9850563943276559,0.9447486305968706
DTW_kmedoids,6,2,419,0.9519731644065058,0.9555527033512003
DTW_kmedoids,6,3,414,0.875229135981274,0.9200722319247392
DTW_kmedoids,6,4,417,0.8755956617468345,0.9560638417396307
DTW_kmedoids,6,5,418,0.9512555708928414,0.8884580770966035
DTW_kmedoids,6,6,420,0.8703885804640861,0.8855399875142214
